jugador,equipo,Competición,goles,asistencias,partidos
Mbeumo B.,Brentford,Premier League,20,7,38
Wood Ch.,Nottingham Forest,Premier League,20,3,36
Wissa Y.,Brentford,Premier League,19,4,34
Watkins O.,Aston Villa,Premier League,16,8,31
Palmer C.,Chelsea,Premier League,15,8,32
Cunha M.,Wolves,Premier League,15,6,33
Larsen J. S.,Wolves,Premier League,14,4,30
Mateta J.,Crystal Palace,Premier League,14,2,31
Bowen J.,West Ham,Premier League,13,8,32
Diaz L.,Liverpool,Premier League,13,5,31
Kluivert J.,Bournemouth,Premier League,12,6,28
Jiménez R.,Fulham,Premier League,12,3,31
Delap L.,Ipswich,Premier League,12,2,29
Semenyo A.,Bournemouth,Premier League,11,5,30
Johnson B.,Tottenham,Premier League,11,3,31
Schade K.,Brentford,Premier League,11,2,28
Joao Pedro,Brighton,Premier League,10,6,34
Jackson N.,Chelsea,Premier League,10,5,34
Gakpo C.,Liverpool,Premier League,10,4,36
Mitoma K.,Brighton,Premier League,10,4,31
Welbeck D.,Brighton,Premier League,10,4,32
Evanilson,Bournemouth,Premier League,10,1,29
Maddison J.,Tottenham,Premier League,9,7,32
Iwobi A.,Fulham,Premier League,9,6,33
Barnes H.,Newcastle,Premier League,9,4,30
Vardy J.,Leicester,Premier League,9,4,31
Havertz K.,Arsenal,Premier League,9,3,36
Solanke D.,Tottenham,Premier League,9,3,35
Soucek T.,West Ham,Premier League,9,1,34
Ndiaye I.,Everton,Premier League,9,0,27
Murphy J.,Newcastle,Premier League,8,12,28
Fernandes B.,Manchester Utd,Premier League,8,10,37
Rogers M.,Aston Villa,Premier League,8,10,36
Eze E.,Crystal Palace,Premier League,8,8,35
Trossard L.,Arsenal,Premier League,8,7,34
Diallo A.,Manchester Utd,Premier League,8,6,31
Sarr I.,Crystal Palace,Premier League,8,6,33
Martinelli G.,Arsenal,Premier League,8,4,36
Rodrigo Muniz,Fulham,Premier League,8,1,34
Beto,Everton,Premier League,8,0,29
Son Heung-Min,Tottenham,Premier League,7,9,33
Gibbs-White M.,Nottingham Forest,Premier League,7,8,35
Kulusevski D.,Tottenham,Premier League,7,4,30
Ouattara Da.,Bournemouth,Premier League,7,4,28
Madueke N.,Chelsea,Premier League,7,3,26
Foden P.,Manchester City,Premier League,7,2,32
Merino M.,Arsenal,Premier League,7,2,30
Duran J.,Aston Villa,Premier League,7,0,27
Marmoush O.,Manchester City,Premier League,7,0,28
Gordon A.,Newcastle,Premier League,6,5,30
Minteh Y.,Brighton,Premier League,6,4,27
Diogo Jota,Liverpool,Premier League,6,3,25
Garnacho A.,Manchester Utd,Premier League,6,3,32
Rashford M.,Aston Villa,Premier League,6,3,32
Smith Rowe E.,Fulham,Premier League,6,3,27
Kovacic M.,Manchester City,Premier League,6,2,30
Wilson H.,Fulham,Premier League,6,1,29
Bruno Guimaraes,Newcastle,Premier League,6,0,31
Mac Allister A.,Liverpool,Premier League,5,5,31
Norgaard C.,Brentford,Premier League,5,4,32
Kudus M.,West Ham,Premier League,5,3,33
Rutter G.,Brighton,Premier League,5,3,31
Buonanotte F.,Leicester,Premier League,5,2,27
Hinshelwood J.,Brighton,Premier League,5,2,26
Hudson-Odoi C.,Nottingham Forest,Premier League,5,2,31
Milenkovic N.,Nottingham Forest,Premier League,5,2,29
Núñez D.,Liverpool,Premier League,5,2,29
Cucurella M.,Chelsea,Premier League,5,1,32
Ayew J.,Leicester,Premier League,5,0,21
Gvardiol J.,Manchester City,Premier League,5,0,28
Ait Nouri R.,Wolves,Premier League,4,7,31
De Bruyne K.,Manchester City,Premier League,4,7,30
Rice D.,Arsenal,Premier League,4,7,32
McNeil D.,Everton,Premier League,4,6,31
Neto P.,Chelsea,Premier League,4,6,29
Muñoz D.,Crystal Palace,Premier League,4,5,29
Silva B.,Manchester City,Premier League,4,4,34
Joelinton,Newcastle,Premier League,4,3,31
Nwaneri E.,Arsenal,Premier League,4,2,20
Partey T.,Arsenal,Premier League,4,2,27
Sessegnon R.,Fulham,Premier League,4,2,25
Tonali S.,Newcastle,Premier League,4,2,30
Mavididi S.,Leicester,Premier League,4,1,28
Onuachu P.,Southampton,Premier League,4,1,22
Richarlison,Tottenham,Premier League,4,1,30
Hojlund R.,Manchester Utd,Premier League,4,0,29
Lucas Paqueta,West Ham,Premier League,4,0,28
Schar F.,Newcastle,Premier League,4,0,33
Szmodics S.,Ipswich,Premier League,4,0,28
Odegaard M.,Arsenal,Premier League,3,8,29
Doku J.,Manchester City,Premier League,3,7,25
Tielemans Y.,Aston Villa,Premier League,3,7,28
Alexander-Arnold T.,Liverpool,Premier League,3,6,29
Tavernier M.,Bournemouth,Premier League,3,5,19
Sancho J.,Chelsea,Premier League,3,4,16
Jones C.,Liverpool,Premier League,3,3,27
Doucouré A.,Everton,Premier League,3,2,28
Füllkrug N.,West Ham,Premier League,3,2,25
Guehi M.,Crystal Palace,Premier League,3,2,31
Huijsen D.,Bournemouth,Premier League,3,2,24
Hutchinson O.,Ipswich,Premier League,3,2,18
Nkunku C.,Chelsea,Premier League,3,2,17
